seqnames start end CI.start CI.end genoT deltaW filenames
chr16 21233248 21504959 21081143 21562852 cc-ww 134 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.38
chr16 22698331 22795990 22674256 22977438 ww-cc 133 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.39
chr16 34150674 34152214 33731506 36373445 cc-ww 141 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.40
chr16 46399540 46410730 38169331 46602838 ww-cc 142 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.41
chr16 78393479 78710234 78026398 78829610 cc-ww 172 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.42
chr17 26854165 26881269 26755553 26885790 ww-cc 36 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.43
chr17 26944689 27801491 26876981 27993452 cc-ww 38 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.44
chr18 22492954 22502941 22331487 22702414 cc-ww 173 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.45
chr19 3633347 3661496 3605497 3735298 wc-cc 80 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.46
chr20 35507102 35525338 35284804 35682956 cc-ww 171 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.47
chr21 13013628 13058773 12980926 13252441 wc-cc 85 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.48
chrX 123568815 123581968 123388669 123780236 ww-cc 173 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.49
chrX 135995901 136026032 135662621 136169948 cc-ww 173 blm-recq5-1-single-f14-r6-c5_S481_.trimmed.mdup.bam.RData.50
chr1 123330451 123742606 123047760 148970037 ww-wc 75 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.1
chr1 149815633 149886225 146032940 149970619 wc-ww 86 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.2
chr2 51219804 51430930 50909160 52046512 cc-ww 172 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.3
chr3 4440954 4478576 31718 4733297 cc-ww 157 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.4
chr4 83691778 83793417 83163251 84165313 ww-cc 170 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.5
chr4 169845798 169877364 169130405 170612652 cc-ww 171 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.6
chr5 35063524 35104574 34926872 35183975 wc-cc 90 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.7
chr7 57340659 57685984 57253020 57861071 cc-wc 27 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.8
chr7 58027754 60928798 61143 62955558 wc-cc 18 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.9
chr8 60589679 60665659 60496508 60706999 cc-wc 82 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.10
chr8 87793539 87797482 87431803 87916865 wc-ww 91 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.11
chr9 98009248 98024612 97397203 98661505 ww-cc 173 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.12
chr9 130805343 130821284 130160582 131222902 cc-ww 169 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.13
chr15 61694446 61784978 61590843 61866747 cc-wc 86 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.14
chr16 32018664 32264422 31894267 32901233 ww-wc 137 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.15
chr16 33697189 33824109 32587631 35125832 wc-cc 137 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.16
chr16 46401405 46424605 46390588 46978671 cc-ww 150 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.17
chr17 59666945 59714680 59003796 59796836 cc-ww 164 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.18
chr19 3616909 3640657 3565338 3758781 wc-ww 95 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.19
chr20 59493591 59601694 59327650 59701381 ww-wc 94 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.20
chr22 23252774 23299138 22547551 24116921 ww-cc 168 blm-recq5-1-single-f14-r6-c6_S482_.trimmed.mdup.bam.RData.21
chr1 4831230 4847641 4715578 4901713 ww-cc 172 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.1
chr1 146050964 146701692 145898124 147048510 cc-ww 146 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.2
chr1 148707752 148892139 148318158 149878862 ww-cc 174 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.3
chr2 113557317 113608214 113205838 113803043 cc-ww 171 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.4
chr2 239617249 239629069 239404819 239680500 ww-cc 172 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.5
chr3 81968906 81983779 81750078 82150474 ww-cc 174 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.6
chr3 195270764 195274581 195142475 195449611 cc-ww 161 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.7
chr4 88265575 88278946 88055176 88444379 ww-cc 167 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.8
chr4 132072421 132077074 131721058 132296522 cc-ww 173 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.9
chr6 167357045 167360989 167187756 167430032 ww-cc 172 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.10
chr7 57580931 57638121 57555503 57856451 cc-wc 58 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.11
chr7 61524429 61893249 60748446 61904708 wc-cc 36 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.12
chr7 64998427 65176580 64971861 65343342 cc-wc 61 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.13
chr7 66306502 66445099 65109861 66507851 wc-cc 59 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.14
chr7 69835001 69842297 69783137 121269031 cc-wc 54 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.15
chr8 37454840 37457778 37424151 37492963 ww-wc 90 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.16
chr8 65923349 65946715 65891342 65956059 wc-cc 87 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.17
chr8 70298276 70298426 70285731 70313799 cc-wc 60 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.18
chr8 74007608 74008526 73937503 74025801 wc-cc 63 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.19
chr9 5250327 5259885 5104581 5475710 ww-cc 173 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.20
chr9 39016131 39035603 38759781 40714881 cc-wc 77 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.21
chr9 66816498 66943002 63820415 67121324 wc-cc 84 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.22
chr9 130800856 130816456 130672008 130999074 cc-ww 170 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.23
chr11 114369131 114376888 114355825 114438845 cc-wc 86 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.24
chr12 62752985 62875040 62602758 63010381 ww-cc 147 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.25
chr12 63859760 64022376 63635849 64160602 cc-ww 150 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.26
chr12 132211034 132214852 132106865 133257880 ww-wc 93 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.27
chr13 19766380 19839572 19542290 20030834 cc-ww 161 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.28
chr14 44739503 44743963 44528681 44886276 cc-ww 174 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.29
chr15 22249966 22252444 22240474 22265742 wc-ww 77 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.30
chr15 52903964 52927446 52719389 53082136 ww-cc 171 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.31
chr15 72627443 72676175 72611911 72709773 cc-wc 83 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.32
chr15 74051181 74065706 74034842 74136913 wc-cc 89 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.33
chr16 21334968 21479156 21180856 21514535 ww-cc 149 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.34
chr16 22687629 22706175 22664176 22809863 cc-ww 153 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.35
chr16 34269384 34571624 34205441 34584728 ww-cc 137 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.36
chr16 46401518 46402716 46400747 46590958 cc-ww 156 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.37
chr19 50084504 50123823 49882847 50260965 cc-ww 168 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.38
chr20 26255948 28565176 26166046 28647727 cc-wc 67 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.39
chr20 30861215 30913127 29870518 30936918 wc-cc 55 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.40
chr21 13024376 13060403 12970319 13260028 wc-ww 111 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.41
chr22 15749367 15939922 12623554 16040573 wc-ww 78 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.42
chr22 23274989 23290733 23107609 23455223 ww-cc 163 blm-recq5-1-single-f14-r6-c7_S483_.trimmed.mdup.bam.RData.43
chr1 146136693 146367861 145898131 147013197 cc-ww 161 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.1
chr1 148831004 148980914 148331074 149850173 ww-cc 174 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.2
chr2 34441026 34455236 34412144 34462991 cc-ww 139 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.3
chr2 36221172 36221819 36199093 36258914 ww-wc 79 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.4
chr2 49325397 49351647 49312164 49388940 wc-ww 82 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.5
chr2 50679350 50682084 50655851 50694863 ww-wc 86 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.6
chr2 66843428 67141728 66336237 67160224 wc-cc 119 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.7
chr3 90197428 90377635 90147485 93470606 cc-wc 55 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.8
chr3 93605249 93873159 93470599 93890927 wc-cc 57 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.9
chr4 69600259 69621655 69558619 69837778 ww-cc 168 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.10
chr4 115031078 115043524 114880986 115082103 cc-ww 172 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.11
chr5 46173048 46325485 46146281 49656383 cc-wc 19 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.12
chr5 50220847 50258040 49602071 50284178 wc-cc 20 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.13
chr6 90978381 91388978 90955799 92574362 ww-wc 12 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.14
chr6 96461328 97181400 94146624 97201136 wc-ww 8 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.15
chr7 67640682 67852607 67481653 70360121 ww-wc 169 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.16
chr8 2930892 2975821 2919532 3002720 wc-cc 85 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.17
chr8 5061386 5064313 4993589 5080631 cc-wc 76 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.18
chr8 31432747 31435798 31411331 31457103 wc-cc 75 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.19
chr8 32526169 32534257 32508288 32539250 cc-wc 85 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.20
chr8 34163179 34174847 34155541 34188646 wc-cc 97 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.21
chr8 36978835 37005866 36929544 37022769 cc-wc 73 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.22
chr8 47047334 47052471 47027389 47070673 wc-cc 84 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.23
chr9 93452820 93457827 93344431 93551983 ww-cc 173 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.24
chr9 130803994 130816211 130657710 130911243 cc-ww 172 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.25
chr10 96855787 96862694 96722516 96883169 cc-ww 170 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.26
chr10 97906688 97914479 97796514 98079176 ww-cc 170 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.27
chr11 50543138 50695919 50425380 50802685 ww-cc 138 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.28
chr11 128721268 128721445 128611154 128837253 cc-ww 170 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.29
chr12 62840703 62875578 62729471 63029493 cc-ww 167 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.30
chr12 63864285 63882447 63766985 63981087 ww-cc 164 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.31
chr15 21274141 21325738 21265108 21443305 wc-ww 79 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.32
chr15 61143905 61148828 61102580 61157419 ww-wc 97 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.33
chr15 72606596 72625643 72592393 72692633 wc-ww 83 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.34
chr15 74129077 74131514 74111919 74138521 ww-wc 90 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.35
chr15 86292729 86296910 86280076 86328892 wc-ww 87 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.36
chr15 87998462 88003133 87969285 88009529 ww-wc 85 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.37
chr15 89342529 89349825 89305266 89384526 wc-ww 89 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.38
chr16 21504685 21509287 21146661 21533021 cc-ww 155 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.39
chr16 22642578 22643313 22615346 22663032 ww-cc 148 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.40
chr16 34275202 34571649 34213672 34583035 cc-ww 130 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.41
chr16 46401601 46407362 46399105 46432102 ww-cc 171 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.42
chr18 49830673 49844670 49793804 50010405 cc-ww 173 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.43
chr18 68720953 69663054 67947636 69809504 ww-cc 172 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.44
chr20 26366362 26462683 26335521 28611250 ww-wc 79 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.45
chr20 31000779 31271488 29880028 31301822 wc-ww 64 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.46
chr22 23288292 23290818 23133490 23377269 ww-cc 169 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.47
chr22 27008833 27012500 26894787 27097697 cc-ww 175 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.48
chrX 103688641 103992160 103566335 104085482 cc-ww 12 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.49
chrX 104045229 104300801 103954449 104410211 ww-cc 12 blm-recq5-1-single-f14-r7-c1_S484_.trimmed.mdup.bam.RData.50
chr1 14548567 14618728 14421612 14765385 ww-cc 173 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.1
chr1 121735373 121744002 121576454 122544819 cc-wc 103 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.2
chr1 124490986 124503348 124243591 143710742 wc-cc 70 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.3
chr1 146049360 146318042 145847231 147595079 cc-ww 102 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.4
chr1 149218359 149915655 147359387 150064605 ww-cc 140 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.5
chr2 194481075 194626182 193227352 194787935 ww-cc 173 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.6
chr5 109472602 109476836 109258974 109666126 ww-cc 171 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.7
chr6 38512241 38520392 38368919 38662539 cc-ww 172 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.8
chr6 131580542 131834756 131533452 131958980 ww-cc 168 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.9
chr6 165991126 166298188 163730159 166569927 cc-ww 166 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.10
chr7 65013457 65200210 64844467 65473086 ww-cc 34 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.11
chr7 65518681 66514236 65266231 66641747 cc-ww 34 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.12
chr8 5017717 5524444 4787166 5926933 cc-ww 169 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.13
chr9 130803350 130809827 130667612 130963018 cc-ww 168 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.14
chr10 77565717 77589168 77527910 77597816 ww-wc 90 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.15
chr10 111536634 111550115 111511759 111569959 wc-ww 90 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.16
chr10 124146842 124176520 124124986 124194498 ww-wc 90 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.17
chr10 126005512 126012985 125988319 126050396 wc-ww 97 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.18
chr11 66406883 66424679 66235513 66582010 cc-ww 172 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.19
chr12 62870990 62875195 62718180 62981391 ww-cc 174 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.20
chr12 63856651 63866294 63731531 63984682 cc-ww 173 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.21
chr12 97338792 97685497 97230470 98375306 ww-cc 168 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.22
chr13 18857223 18880336 18173200 18923346 wc-cc 67 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.23
chr14 20158929 20166188 19830003 20202757 wc-cc 81 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.24
chr14 75246725 75293568 75110566 75366023 cc-ww 172 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.25
chr15 22282841 22383465 22262938 22602109 wc-ww 82 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.26
chr15 72693318 72704141 72622141 72720322 ww-wc 89 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.27
chr15 74051847 74057323 74041861 74111980 wc-ww 87 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.28
chr16 21509846 21511969 21261497 21538794 cc-ww 141 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.29
chr16 22696364 22704194 22672236 22990156 ww-cc 142 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.30
chr17 26620162 26880968 26603883 26885743 ww-cc 43 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.31
chr17 26885830 27149121 26885098 27285419 cc-ww 43 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.32
chr19 3637499 3653006 3612017 3694739 wc-ww 82 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.33
chr20 46113995 46124259 45979180 46268739 cc-ww 175 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.34
chr21 10813052 12967604 10789679 12993093 wc-cc 117 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.35
chr21 33518213 33530783 33390747 33701343 cc-ww 175 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.36
chr22 23276202 23293471 23068150 23314903 ww-cc 170 blm-recq5-1-single-f14-r7-c2_S485_.trimmed.mdup.bam.RData.37
chr1 121598314 122099585 121512520 122520702 ww-wc 75 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.1
chr1 146126689 146341229 145721820 146671522 wc-cc 123 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.2
chr1 148931687 148951758 147890633 149964286 cc-ww 166 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.3
chr2 234876759 234883767 234715284 235140705 cc-ww 173 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.4
chr3 113155297 113170883 112956677 113466677 cc-ww 174 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.5
chr4 112143795 112145477 111777155 112414153 cc-ww 170 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.6
chr7 70080881 70109486 70055259 70142537 ww-cc 117 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.7
chr8 143485109 143500271 143449173 143540039 wc-ww 90 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.8
chr9 69202025 69234942 68876458 69604965 ww-cc 147 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.9
chr12 62748195 62878280 62551580 63116460 ww-cc 78 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.10
chr12 63853279 64254406 63668603 64476709 cc-ww 78 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.11
chr13 19306286 19335208 16271663 19379464 wc-cc 80 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.12
chr15 22296959 22619520 20666913 22658139 wc-ww 70 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.13
chr15 60821592 60824217 60779054 60849655 ww-wc 96 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.14
chr15 72665153 72670922 72598841 72687438 wc-ww 86 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.15
chr15 74064776 74072753 74015817 74161419 ww-wc 90 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.16
chr15 89340662 89421096 89313027 89454730 wc-ww 86 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.17
chr16 34273025 34571774 34194078 34586868 cc-ww 150 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.18
chr16 46401538 46404473 46395418 46703616 ww-cc 160 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.19
chr17 26824408 26881394 26744836 26941784 ww-wc 28 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.20
chr17 27593014 28016735 26870613 28051075 wc-ww 30 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.21
chr20 62347588 62394958 62292976 62491310 ww-cc 168 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.22
chr21 13035113 13081270 10792907 13214622 wc-ww 102 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.23
chr22 16771238 16783317 11367627 16843525 wc-cc 81 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.24
chrX 152530140 153151667 152505284 153187828 ww-wc 15 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.25
chrX 153510102 153667604 153098942 153731340 wc-ww 16 blm-recq5-1-single-f14-r7-c3_S486_.trimmed.mdup.bam.RData.26
chr1 121735962 121755805 121596727 122504794 ww-wc 84 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.1
chr1 146069524 146364591 145960603 146473581 wc-cc 159 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.2
chr1 148760011 148915297 148337017 149774345 cc-ww 170 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.3
chr2 191275839 191284136 191177561 191445627 cc-ww 173 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.4
chr3 90320858 90823839 90296450 91257619 cc-wc 48 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.5
chr3 93470802 93769555 93470692 93803784 wc-cc 48 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.6
chr4 48495019 49107392 48477867 49501151 ww-wc 17 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.7
chr4 49652299 52318063 49254089 52341337 wc-ww 16 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.8
chr7 57545339 57641170 57518362 57805194 ww-wc 68 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.9
chr7 62400817 62441598 62358008 62559126 wc-ww 53 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.10
chr7 64631250 65205044 64521382 65269400 ww-cc 63 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.11
chr7 65558734 65601949 65372090 65800168 cc-ww 63 blm-recq5-1-single-f14-r7-c4_S487_.trimmed.mdup.bam.RData.12
